suicide survivor,isPartial,date
0,False,2015-09-20
0,False,2015-09-27
0,False,2015-10-04
50,False,2015-10-11
0,False,2015-10-18
0,False,2015-10-25
100,False,2015-11-01
0,False,2015-11-08
51,False,2015-11-15
0,False,2015-11-22
0,False,2015-11-29
0,False,2015-12-06
0,False,2015-12-13
0,False,2015-12-20
0,False,2015-12-27
0,False,2016-01-03
0,False,2016-01-10
0,False,2016-01-17
0,False,2016-01-24
0,False,2016-01-31
42,False,2016-02-07
0,False,2016-02-14
0,False,2016-02-21
0,False,2016-02-28
0,False,2016-03-06
0,False,2016-03-13
0,False,2016-03-20
0,False,2016-03-27
0,False,2016-04-03
0,False,2016-04-10
0,False,2016-04-17
0,False,2016-04-24
0,False,2016-05-01
0,False,2016-05-08
0,False,2016-05-15
0,False,2016-05-22
47,False,2016-05-29
0,False,2016-06-05
0,False,2016-06-12
0,False,2016-06-19
0,False,2016-06-26
49,False,2016-07-03
0,False,2016-07-10
0,False,2016-07-17
0,False,2016-07-24
47,False,2016-07-31
0,False,2016-08-07
0,False,2016-08-14
0,False,2016-08-21
0,False,2016-08-28
44,False,2016-09-04
43,False,2016-09-11
0,False,2016-09-18
58,False,2016-09-25
0,False,2016-10-02
0,False,2016-10-09
0,False,2016-10-16
0,False,2016-10-23
0,False,2016-10-30
0,False,2016-11-06
0,False,2016-11-13
0,False,2016-11-20
40,False,2016-11-27
0,False,2016-12-04
41,False,2016-12-11
43,False,2016-12-18
0,False,2016-12-25
0,False,2017-01-01
0,False,2017-01-08
0,False,2017-01-15
0,False,2017-01-22
0,False,2017-01-29
38,False,2017-02-05
0,False,2017-02-12
0,False,2017-02-19
0,False,2017-02-26
0,False,2017-03-05
0,False,2017-03-12
0,False,2017-03-19
0,False,2017-03-26
76,False,2017-04-02
38,False,2017-04-09
0,False,2017-04-16
0,False,2017-04-23
0,False,2017-04-30
0,False,2017-05-07
0,False,2017-05-14
0,False,2017-05-21
0,False,2017-05-28
0,False,2017-06-04
0,False,2017-06-11
0,False,2017-06-18
43,False,2017-06-25
0,False,2017-07-02
42,False,2017-07-09
42,False,2017-07-16
0,False,2017-07-23
0,False,2017-07-30
39,False,2017-08-06
0,False,2017-08-13
0,False,2017-08-20
0,False,2017-08-27
0,False,2017-09-03
0,False,2017-09-10
0,False,2017-09-17
38,False,2017-09-24
0,False,2017-10-01
0,False,2017-10-08
0,False,2017-10-15
0,False,2017-10-22
0,False,2017-10-29
0,False,2017-11-05
0,False,2017-11-12
0,False,2017-11-19
0,False,2017-11-26
0,False,2017-12-03
0,False,2017-12-10
0,False,2017-12-17
42,False,2017-12-24
0,False,2017-12-31
0,False,2018-01-07
0,False,2018-01-14
0,False,2018-01-21
36,False,2018-01-28
0,False,2018-02-04
0,False,2018-02-11
0,False,2018-02-18
0,False,2018-02-25
0,False,2018-03-04
36,False,2018-03-11
36,False,2018-03-18
0,False,2018-03-25
0,False,2018-04-01
0,False,2018-04-08
0,False,2018-04-15
0,False,2018-04-22
0,False,2018-04-29
0,False,2018-05-06
0,False,2018-05-13
0,False,2018-05-20
0,False,2018-05-27
39,False,2018-06-03
38,False,2018-06-10
0,False,2018-06-17
