suicide text,isPartial,date
27,False,2019-09-08
14,False,2019-09-15
0,False,2019-09-22
0,False,2019-09-29
14,False,2019-10-06
14,False,2019-10-13
0,False,2019-10-20
21,False,2019-10-27
14,False,2019-11-03
0,False,2019-11-10
0,False,2019-11-17
14,False,2019-11-24
0,False,2019-12-01
0,False,2019-12-08
14,False,2019-12-15
0,False,2019-12-22
14,False,2019-12-29
0,False,2020-01-05
0,False,2020-01-12
26,False,2020-01-19
13,False,2020-01-26
13,False,2020-02-02
13,False,2020-02-09
20,False,2020-02-16
0,False,2020-02-23
12,False,2020-03-01
12,False,2020-03-08
12,False,2020-03-15
0,False,2020-03-22
0,False,2020-03-29
12,False,2020-04-05
24,False,2020-04-12
0,False,2020-04-19
11,False,2020-04-26
11,False,2020-05-03
23,False,2020-05-10
12,False,2020-05-17
0,False,2020-05-24
0,False,2020-05-31
22,False,2020-06-07
0,False,2020-06-14
0,False,2020-06-21
13,False,2020-06-28
0,False,2020-07-05
13,False,2020-07-12
0,False,2020-07-19
13,False,2020-07-26
13,False,2020-08-02
26,False,2020-08-09
13,False,2020-08-16
13,False,2020-08-23
100,True,2020-08-30
