suicide hotline text,isPartial,date
0,False,2019-01-06
0,False,2019-01-13
0,False,2019-01-20
57,False,2019-01-27
0,False,2019-02-03
56,False,2019-02-10
0,False,2019-02-17
0,False,2019-02-24
0,False,2019-03-03
0,False,2019-03-10
0,False,2019-03-17
0,False,2019-03-24
0,False,2019-03-31
0,False,2019-04-07
60,False,2019-04-14
0,False,2019-04-21
60,False,2019-04-28
60,False,2019-05-05
0,False,2019-05-12
0,False,2019-05-19
0,False,2019-05-26
61,False,2019-06-02
0,False,2019-06-09
0,False,2019-06-16
0,False,2019-06-23
0,False,2019-06-30
0,False,2019-07-07
62,False,2019-07-14
63,False,2019-07-21
0,False,2019-07-28
60,False,2019-08-04
0,False,2019-08-11
0,False,2019-08-18
0,False,2019-08-25
55,False,2019-09-01
0,False,2019-09-08
0,False,2019-09-15
0,False,2019-09-22
0,False,2019-09-29
0,False,2019-10-06
0,False,2019-10-13
0,False,2019-10-20
0,False,2019-10-27
0,False,2019-11-03
0,False,2019-11-10
0,False,2019-11-17
0,False,2019-11-24
0,False,2019-12-01
55,False,2019-12-08
0,False,2019-12-15
0,False,2019-12-22
57,False,2019-12-29
0,False,2020-01-05
100,False,2020-01-12
0,False,2020-01-19
0,False,2020-01-26
51,False,2020-02-02
0,False,2020-02-09
51,False,2020-02-16
0,False,2020-02-23
0,False,2020-03-01
0,False,2020-03-08
0,False,2020-03-15
46,False,2020-03-22
0,False,2020-03-29
46,False,2020-04-05
0,False,2020-04-12
0,False,2020-04-19
0,False,2020-04-26
0,False,2020-05-03
47,False,2020-05-10
0,False,2020-05-17
0,False,2020-05-24
0,False,2020-05-31
0,False,2020-06-07
0,False,2020-06-14
0,False,2020-06-21
50,False,2020-06-28
0,False,2020-07-05
0,False,2020-07-12
0,False,2020-07-19
51,False,2020-07-26
0,False,2020-08-02
0,False,2020-08-09
0,False,2020-08-16
0,False,2020-08-23
0,False,2020-08-30
