hypervigilant,isPartial,date
58,False,2019-08-25
0,False,2019-09-01
55,False,2019-09-08
0,False,2019-09-15
0,False,2019-09-22
0,False,2019-09-29
0,False,2019-10-06
56,False,2019-10-13
0,False,2019-10-20
0,False,2019-10-27
0,False,2019-11-03
0,False,2019-11-10
55,False,2019-11-17
0,False,2019-11-24
54,False,2019-12-01
0,False,2019-12-08
0,False,2019-12-15
0,False,2019-12-22
0,False,2019-12-29
0,False,2020-01-05
50,False,2020-01-12
54,False,2020-01-19
0,False,2020-01-26
0,False,2020-02-02
54,False,2020-02-09
0,False,2020-02-16
77,False,2020-02-23
50,False,2020-03-01
0,False,2020-03-08
0,False,2020-03-15
48,False,2020-03-22
0,False,2020-03-29
0,False,2020-04-05
0,False,2020-04-12
0,False,2020-04-19
0,False,2020-04-26
47,False,2020-05-03
0,False,2020-05-10
95,False,2020-05-17
0,False,2020-05-24
0,False,2020-05-31
0,False,2020-06-07
0,False,2020-06-14
100,False,2020-06-21
77,False,2020-06-28
0,False,2020-07-05
55,False,2020-07-12
0,False,2020-07-19
0,False,2020-07-26
0,False,2020-08-02
53,False,2020-08-09
0,True,2020-08-16
