how to commit suicide,isPartial,date
0,False,2019-09-22
0,False,2019-09-29
0,False,2019-10-06
33,False,2019-10-13
100,False,2019-10-20
33,False,2019-10-27
33,False,2019-11-03
32,False,2019-11-10
0,False,2019-11-17
68,False,2019-11-24
0,False,2019-12-01
33,False,2019-12-08
0,False,2019-12-15
0,False,2019-12-22
0,False,2019-12-29
32,False,2020-01-05
0,False,2020-01-12
0,False,2020-01-19
0,False,2020-01-26
0,False,2020-02-02
0,False,2020-02-09
0,False,2020-02-16
29,False,2020-02-23
29,False,2020-03-01
30,False,2020-03-08
0,False,2020-03-15
28,False,2020-03-22
28,False,2020-03-29
0,False,2020-04-05
0,False,2020-04-12
0,False,2020-04-19
41,False,2020-04-26
28,False,2020-05-03
28,False,2020-05-10
27,False,2020-05-17
0,False,2020-05-24
28,False,2020-05-31
28,False,2020-06-07
28,False,2020-06-14
30,False,2020-06-21
0,False,2020-06-28
0,False,2020-07-05
0,False,2020-07-12
0,False,2020-07-19
62,False,2020-07-26
31,False,2020-08-02
0,False,2020-08-09
0,False,2020-08-16
0,False,2020-08-23
29,False,2020-08-30
0,False,2020-09-06
0,True,2020-09-13
