post natal depression,isPartial,date
0,False,2019-01-06
0,False,2019-01-13
0,False,2019-01-20
0,False,2019-01-27
0,False,2019-02-03
36,False,2019-02-10
0,False,2019-02-17
0,False,2019-02-24
37,False,2019-03-03
37,False,2019-03-10
75,False,2019-03-17
38,False,2019-03-24
0,False,2019-03-31
0,False,2019-04-07
0,False,2019-04-14
0,False,2019-04-21
74,False,2019-04-28
38,False,2019-05-05
39,False,2019-05-12
39,False,2019-05-19
0,False,2019-05-26
0,False,2019-06-02
0,False,2019-06-09
0,False,2019-06-16
0,False,2019-06-23
0,False,2019-06-30
38,False,2019-07-07
0,False,2019-07-14
40,False,2019-07-21
40,False,2019-07-28
39,False,2019-08-04
0,False,2019-08-11
0,False,2019-08-18
36,False,2019-08-25
0,False,2019-09-01
35,False,2019-09-08
35,False,2019-09-15
0,False,2019-09-22
53,False,2019-09-29
36,False,2019-10-06
35,False,2019-10-13
0,False,2019-10-20
0,False,2019-10-27
35,False,2019-11-03
0,False,2019-11-10
34,False,2019-11-17
0,False,2019-11-24
0,False,2019-12-01
0,False,2019-12-08
0,False,2019-12-15
0,False,2019-12-22
37,False,2019-12-29
0,False,2020-01-05
33,False,2020-01-12
0,False,2020-01-19
33,False,2020-01-26
33,False,2020-02-02
33,False,2020-02-09
33,False,2020-02-16
0,False,2020-02-23
32,False,2020-03-01
0,False,2020-03-08
0,False,2020-03-15
0,False,2020-03-22
29,False,2020-03-29
0,False,2020-04-05
0,False,2020-04-12
29,False,2020-04-19
29,False,2020-04-26
29,False,2020-05-03
30,False,2020-05-10
45,False,2020-05-17
0,False,2020-05-24
30,False,2020-05-31
31,False,2020-06-07
0,False,2020-06-14
32,False,2020-06-21
0,False,2020-06-28
0,False,2020-07-05
33,False,2020-07-12
0,False,2020-07-19
100,False,2020-07-26
66,False,2020-08-02
33,False,2020-08-09
0,False,2020-08-16
32,False,2020-08-23
0,False,2020-08-30
