baby blues,isPartial,date
61,False,2019-01-06
30,False,2019-01-13
30,False,2019-01-20
30,False,2019-01-27
0,False,2019-02-03
0,False,2019-02-10
0,False,2019-02-17
0,False,2019-02-24
30,False,2019-03-03
0,False,2019-03-10
30,False,2019-03-17
0,False,2019-03-24
30,False,2019-03-31
31,False,2019-04-07
32,False,2019-04-14
32,False,2019-04-21
0,False,2019-04-28
30,False,2019-05-05
64,False,2019-05-12
32,False,2019-05-19
0,False,2019-05-26
0,False,2019-06-02
34,False,2019-06-09
0,False,2019-06-16
100,False,2019-06-23
35,False,2019-06-30
0,False,2019-07-07
67,False,2019-07-14
35,False,2019-07-21
34,False,2019-07-28
0,False,2019-08-04
32,False,2019-08-11
0,False,2019-08-18
0,False,2019-08-25
0,False,2019-09-01
29,False,2019-09-08
0,False,2019-09-15
0,False,2019-09-22
0,False,2019-09-29
29,False,2019-10-06
0,False,2019-10-13
29,False,2019-10-20
0,False,2019-10-27
0,False,2019-11-03
29,False,2019-11-10
28,False,2019-11-17
30,False,2019-11-24
0,False,2019-12-01
0,False,2019-12-08
58,False,2019-12-15
0,False,2019-12-22
0,False,2019-12-29
28,False,2020-01-05
0,False,2020-01-12
0,False,2020-01-19
54,False,2020-01-26
0,False,2020-02-02
28,False,2020-02-09
0,False,2020-02-16
0,False,2020-02-23
40,False,2020-03-01
27,False,2020-03-08
54,False,2020-03-15
0,False,2020-03-22
24,False,2020-03-29
0,False,2020-04-05
0,False,2020-04-12
0,False,2020-04-19
24,False,2020-04-26
0,False,2020-05-03
0,False,2020-05-10
26,False,2020-05-17
0,False,2020-05-24
0,False,2020-05-31
0,False,2020-06-07
0,False,2020-06-14
28,False,2020-06-21
29,False,2020-06-28
0,False,2020-07-05
28,False,2020-07-12
28,False,2020-07-19
58,False,2020-07-26
29,False,2020-08-02
0,False,2020-08-09
29,False,2020-08-16
0,False,2020-08-23
41,False,2020-08-30
